nome;longitude;latitude
Pereiras;-47.972.005;-23.08.037
Peruíbe;-470.012;-24.311.974
Piacatu;-50.600.343;-21.592.142
Piedade;-47.425.572;-23.713.941
Pilar do Sul;-47.722.151;-23.807.716
Pindamonhangaba;-45.461.264;-22.92.463
Pindorama;-48.90.861;-211.853
Pinhalzinho;-46.589.679;-22.781.115
Piquerobi;-51.728.164;-21.874.671
Piquete;-45.186.919;-22.606.881
Piracaia;-46.359.374;-23.052.545
Piracicaba;-47.647.612;-22.733.801
Piraju;-49.380.335;-23.198.066
Pirajuí;-49.460.777;-21.998.986
Pirangi;-48.660.733;-210.886
Pirapora do Bom Jesus;-46.999.103;-23.396.487
Pirapozinho;-51.497.635;-22.271.125
Pirassununga;-47.425.746;-21.995.982
Piratininga;-49.133.869;-22.41.416
Pitangueiras;-48.220.951;-21.013.203
Planalto;-49.933.034;-21.034.249
Platina;-50.210.422;-22.637.142
Poloni;-49.825.756;-20.782.909
Pompéia;-50.175.964;-22.10.704
Pongaí;-49.360.421;-21.73.956
Pontal;-48.042.261;-21.021.565
Pontalinda;-50.525.754;-20.439.624
Pontes Gestal;-49.706.355;-20.172.692
Populina;-50.538.035;-19.945.297
Porangaba;-48.119.464;-23.17.615
Porto Feliz;-47.52.512;-23.209.318
Porto Ferreira;-47.487.034;-21.849.814
Potim;-45.255.205;-22.834.327
Potirendaba;-49.381.509;-21.042.789
Poá;-46.347.292;-23.533.285
Pracinha;-51.086.791;-21.849.563
Pradópolis;-48.067.869;-21.362.578
Praia Grande;-46.412.057;-24.008.378
Pratânia;-48.663.618;-22.811.183
Presidente Alves;-49.438.133;-22.09.991
Presidente Bernardes;-51.556.507;-22.008.198
Presidente Epitácio;-52.11.114;-21.765.074
Presidente Prudente;-51.392.526;-22.120.654
Presidente Venceslau;-51.844.744;-21.873.233
Promissão;-49.85.989;-21.535.572
Quadra;-48.054.657;-23.299.332
Quatá;-50.696.605;-22.24.559
Queiroz;-50.241.461;-21.796.865
Queluz;-44.778.105;-22.531.171
Quintana;-50.307.028;-22.069.172
Rafard;-47.531.795;-23.010.508
Rancharia;-50.893.041;-22.22.691
Redenção da Serra;-45.54.222;-23.263.763
Regente Feijó;-51.30.545;-22.218.131
Reginópolis;-49.226.782;-21.891.372
Registro;-47.844.895;-24.497.942
Restinga;-47.483.254;-20.605.593
Ribeira;-49.004.409;-24.65.171
Ribeirão Bonito;-48.182.041;-22.068.536
Ribeirão Branco;-48.763.545;-24.22.058
Ribeirão Corrente;-47.590.394;-20.457.872
Ribeirão Grande;-48.367.931;-24.10.114
Ribeirão Pires;-46.405.805;-23.706.669
Ribeirão Preto;-47.809.875;-21.169.923
Ribeirão do Sul;-49.933.037;-22.789.013
Ribeirão dos Índios;-51.610.343;-21.838.201
Rifaina;-47.429.109;-20.080.256
Rincão;-48.072.838;-21.589.429
Rinópolis;-50.723.908;-21.728.402
Rio Claro;-47.554.632;-22.398.378
Rio Grande da Serra;-46.397.084;-23.743.724
Rio das Pedras;-47.604.657;-22.841.723
Riolândia;-49.683.582;-19.986.789
Riversul;-49.428.965;-23.829.003
Rosana;-53.060.296;-22.578.173
Roseira;-45.306.993;-22.893.834
Rubinéia;-51.007.034;-20.175.906
Rubiácea;-50.729.564;-21.300.568
Sabino;-49.575.546;-21.45.934
Sagres;-50.959.381;-21.88.232
Sales;-49.489.658;-21.342.738
Sales Oliveira;-47.836.873;-20.769.612
Salesópolis;-45.84.653;-23.528.805
Salmourão;-50.861.366;-21.626.729
Saltinho;-47.675.371;-22.844.167
Salto;-47.293.087;-23.199.592
Salto Grande;-49.983.134;-22.889.389
Salto de Pirapora;-47.574.322;-23.647.387
Sandovalina;-51.764.822;-22.455.099
Santa Adélia;-48.80.634;-21.242.662
Santa Albertina;-50.729.713;-20.031.131
Santa Branca;-45.887.521;-23.393.311
Santa Bárbara d`Oeste;-47.414.308;-22.755.256
Santa Clara d`Oeste;-50.949.109;-20.090.041
Santa Cruz da Conceição;-47.451.196;-22.140.542
Santa Cruz da Esperança;-47.430.381;-21.295.065
Santa Cruz das Palmeiras;-47.248.023;-21.823.475
Santa Cruz do Rio Pardo;-49.635.444;-22.89.875
Santa Ernestina;-48.395.317;-21.461.769
Santa Fé do Sul;-50.931.958;-20.208.252
Santa Gertrudes;-47.52.716;-22.457.229
Santa Isabel;-46.223.668;-23.317.194
Santa Lúcia;-48.088.469;-21.684.982
Santa Maria da Serra;-48.159.288;-22.566.088
Santa Mercedes;-51.756.353;-21.349.521
Santa Rita d`Oeste;-50.835.781;-20.141.431
Santa Rita do Passa Quatro;-47.478;-21.708.323
Santa Rosa de Viterbo;-47.362.213;-21.477.568
